Date,Open,High,Low,Close,Adj Close,Volume,Name
13/01/2022,1.109.069.946,1.115.599.976,1.026.540.039,1.031.560.059,1.031.560.059,32403300,TLSA
14/01/2022,1.019.880.005,1.052.000.000,1.013.380.005,1.049.609.985,1.049.609.985,24246600,TLSA
18/01/2022,1.026.609.985,1.070.790.039,1.016.059.998,1.030.510.010,1.030.510.010,22247800,TLSA
19/01/2022,1.041.709.961,1.054.670.044,995.000.000,995.650.024,995.650.024,25147500,TLSA
20/01/2022,1.009.729.980,1.041.660.034,994.000.000,996.270.020,996.270.020,23496200,TLSA
21/01/2022,996.340.027,1.004.549.988,940.500.000,943.900.024,943.900.024,34472000,TLSA
24/01/2022,904.760.010,933.510.010,851.469.971,930.000.000,930.000.000,50521900,TLSA
25/01/2022,914.200.012,951.260.010,903.210.022,918.400.024,918.400.024,28865300,TLSA
26/01/2022,952.429.993,987.690.002,906.000.000,937.409.973,937.409.973,34955800,TLSA
27/01/2022,933.359.985,935.390.015,829.000.000,829.099.976,829.099.976,49036500,TLSA
28/01/2022,831.559.998,857.500.000,792.010.010,846.349.976,846.349.976,44929700,TLSA
31/01/2022,872.710.022,937.989.990,862.049.988,936.719.971,936.719.971,34812000,TLSA
1/02/2022,935.210.022,943.700.012,905.000.000,931.250.000,931.250.000,24379400,TLSA
2/02/2022,928.179.993,931.500.000,889.409.973,905.659.973,905.659.973,22264300,TLSA
3/02/2022,882.000.000,937.000.000,880.520.020,891.140.015,891.140.015,26285200,TLSA
4/02/2022,897.219.971,936.500.000,881.169.983,923.320.007,923.320.007,24472600,TLSA
7/02/2022,923.789.978,947.770.020,902.710.022,907.340.027,907.340.027,20331500,TLSA
8/02/2022,905.530.029,926.289.978,894.799.988,922.000.000,922.000.000,16909700,TLSA
9/02/2022,935.000.000,946.270.020,920.000.000,932.000.000,932.000.000,17419800,TLSA
10/02/2022,908.369.995,943.809.998,896.700.012,904.549.988,904.549.988,22042300,TLSA
11/02/2022,909.630.005,915.960.022,850.700.012,860.000.000,860.000.000,26492700,TLSA
14/02/2022,861.570.007,898.880.005,853.150.024,875.760.010,875.760.010,22585500,TLSA
15/02/2022,900.000.000,923.000.000,893.380.005,922.429.993,922.429.993,19095400,TLSA
16/02/2022,914.049.988,926.429.993,901.210.022,923.390.015,923.390.015,17098100,TLSA
17/02/2022,913.260.010,918.500.000,874.099.976,876.349.976,876.349.976,18392800,TLSA
18/02/2022,886.000.000,886.869.995,837.609.985,856.979.980,856.979.980,22833900,TLSA
22/02/2022,834.130.005,856.729.980,801.099.976,821.530.029,821.530.029,27762700,TLSA
23/02/2022,830.429.993,835.299.988,760.559.998,764.039.978,764.039.978,31752300,TLSA
24/02/2022,700.390.015,802.479.980,700.000.000,800.770.020,800.770.020,45107400,TLSA
25/02/2022,809.229.980,819.500.000,782.400.024,809.869.995,809.869.995,25355900,TLSA
28/02/2022,815.010.010,876.859.985,814.710.022,870.429.993,870.429.993,33002300,TLSA
1/03/2022,869.679.993,889.880.005,853.780.029,864.369.995,864.369.995,24922300,TLSA
2/03/2022,872.130.005,886.479.980,844.270.020,879.890.015,879.890.015,24881100,TLSA
3/03/2022,878.770.020,886.440.002,832.599.976,839.289.978,839.289.978,20541200,TLSA
4/03/2022,849.099.976,855.650.024,825.159.973,838.289.978,838.289.978,22333200,TLSA
7/03/2022,856.299.988,866.140.015,804.570.007,804.580.017,804.580.017,24164700,TLSA
